0, -609365 -342122 -243715 79532 -111541 305148 -372269 1170949;
1, -609365 -342122 -243715 79532 -111541 305148 -372269 1170949;
2, -607814 -345690 -244025 79377 -111283 304993 -372942 1169397;
3, -607814 -345690 -244025 79377 -111283 304993 -372942 1169397;
4, -605746 -419223 -246973 78808 -109369 303234 -370304 1161124;
5, -605746 -419223 -246973 78808 -109369 303234 -370304 1161124;
6, -593904 -459299 -211447 79170 -108490 303338 -381060 1166812;
7, -593904 -459299 -211447 79170 -108490 303338 -381060 1166812;
8, -593904 -459299 -211447 79170 -108490 303338 -381060 1166812;
9, -539452 -385094 -216929 81186 -108439 302976 -380233 1165933;
10, -539452 -385094 -216929 81186 -108439 302976 -380233 1165933;
11, -577822 -377492 -227633 100423 -115782 294702 -371545 1165571;
12, -577822 -377492 -227633 100423 -115782 294702 -371545 1165571;
13, -629119 -423153 -182903 207000 48091 434891 -250799 1229176;
14, -629119 -423153 -182903 207000 48091 434891 -250799 1229176;
15, -653785 -370046 -224117 183626 30044 420929 -257936 1231451;
16, -653785 -370046 -224117 183626 30044 420929 -257936 1231451;
17, -653785 -370046 -224117 183626 30044 420929 -257936 1231451;
18, -647632 -404382 -325057 100371 -24304 409966 -279551 1238846;
19, -647632 -404382 -325057 100371 -24304 409966 -279551 1238846;
20, -536142 -489499 -432461 -59933 -147584 308302 -315956 1226694;
21, -536142 -489499 -432461 -59933 -147584 308302 -315956 1226694;
22, -538262 -549949 -564480 -117178 -168889 311767 -316990 1216713;
23, -538262 -549949 -564480 -117178 -168889 311767 -316990 1216713;
24, -532936 -579269 -580562 -77412 -131761 323143 -308406 1226694;
25, -532936 -579269 -580562 -77412 -131761 323143 -308406 1226694;
26, -532936 -579269 -580562 -77412 -131761 323143 -308406 1226694;
27, -540796 -625189 -636565 -42765 -141999 317093 -301477 1220023;
28, -540796 -625189 -636565 -42765 -141999 317093 -301477 1220023;
29, -541003 -677003 -730163 -74051 -135070 311870 -302511 1210146;
30, -541003 -677003 -730163 -74051 -135070 311870 -302511 1210146;
31, -553414 -710667 -822209 -117850 -151049 296305 -301735 1181550;
32, -553414 -710667 -822209 -117850 -151049 296305 -301735 1181550;
33, -559929 -741694 -911204 -106887 -206897 136000 -383542 1139095;
34, -559929 -741694 -911204 -106887 -206897 136000 -383542 1139095;
35, -559929 -741694 -911204 -106887 -206897 136000 -383542 1139095;
36, -559774 -759897 -978635 -66139 -261452 51504 -441356 1069802;
37, -559774 -759897 -978635 -66139 -261452 51504 -441356 1069802;
38, -566290 -793974 -1054495 -81135 -260056 -28183 -502375 1014574;
39, -566290 -793974 -1054495 -81135 -260056 -28183 -502375 1014574;
40, -592249 -862130 -1082161 -37232 -260677 -108283 -544571 961570;
41, -592249 -862130 -1082161 -37232 -260677 -108283 -544571 961570;
42, -601350 -921391 -1111688 16548 -257212 -368649 -750485 647218;
43, -601350 -921391 -1111688 16548 -257212 -368649 -750485 647218;
44, -601350 -921391 -1111688 16548 -257212 -368649 -750485 647218;
45, -614485 -938559 -1178137 -3310 -270450 -342018 -809591 580355;
46, -614485 -938559 -1178137 -3310 -270450 -342018 -809591 580355;
47, -617432 -973826 -1189514 -17530 -328263 -323506 -1089711 445906;
48, -617432 -973826 -1189514 -17530 -328263 -323506 -1089711 445906;
49, -640289 -982565 -1209578 -44058 -421860 -380233 -1359230 324436;
50, -640289 -982565 -1209578 -44058 -421860 -380233 -1359230 324436;
51, -656784 -959760 -1223229 11687 -588060 -643908 -1433177 261607;
52, -656784 -959760 -1223229 11687 -588060 -643908 -1433177 261607;
53, -656784 -959760 -1223229 11687 -588060 -643908 -1433177 261607;
54, -683312 -918495 -1248464 70172 -603005 -936542 -1560542 214136;
55, -683312 -918495 -1248464 70172 -603005 -936542 -1560542 214136;
56, -719510 -861664 -1266718 88116 -674935 -1123685 -1590896 208551;
57, -719510 -861664 -1266718 88116 -674935 -1123685 -1590896 208551;
58, -730525 -834878 -1414768 -153427 -611072 -1236778 -1593637 198933;
59, -730525 -834878 -1414768 -153427 -611072 -1236778 -1593637 198933;
60, -730525 -834878 -1414768 -153427 -611072 -1236778 -1593637 198933;
61, -700274 -760776 -1495023 -133053 -730214 -1446932 -1563592 180162;
62, -700274 -760776 -1495023 -133053 -730214 -1446932 -1563592 180162;
63, -715994 -674625 -1515915 -78084 -862647 -1525533 -1551854 161649;
64, -715994 -674625 -1515915 -78084 -862647 -1525533 -1551854 161649;
65, -575391 -602901 -1512657 -129589 -855097 -1581330 -1598911 195417;
66, -575391 -602901 -1512657 -129589 -855097 -1581330 -1598911 195417;
67, -461471 -532471 -1516484 -247283 -854321 -1650623 -1482923 356238;
68, -461471 -532471 -1516484 -247283 -854321 -1650623 -1482923 356238;
69, -461471 -532471 -1516484 -247283 -854321 -1650623 -1482923 356238;
70, -444717 -560757 -1538513 -286997 -1047721 -1670480 -1403650 615157;
71, -444717 -560757 -1538513 -286997 -1047721 -1670480 -1403650 615157;
72, -361306 -628653 -1521189 -326867 -1166140 -1690854 -1400909 713873;
73, -361306 -628653 -1521189 -326867 -1166140 -1690854 -1400909 713873;
74, -320920 -601350 -1545700 -327539 -1301830 -1719502 -1429661 735178;
75, -320920 -601350 -1545700 -327539 -1301830 -1719502 -1429661 735178;
76, -301063 -598351 -1568298 -312439 -1288437 -1741065 -1429505 749864;
77, -301063 -598351 -1568298 -312439 -1288437 -1741065 -1429505 749864;
78, -301063 -598351 -1568298 -312439 -1288437 -1741065 -1429505 749864;
79, -222720 -638272 -1587845 -279913 -1366521 -1750218 -1428316 754570;
80, -222720 -638272 -1587845 -279913 -1366521 -1750218 -1428316 754570;
81, -159167 -713357 -1621044 -176801 -1325255 -1751356 -1395531 755656;
82, -159167 -713357 -1621044 -176801 -1325255 -1751356 -1395531 755656;
83, -140138 -744435 -1636971 -140810 -1285490 -1757199 -1383172 757052;
84, -140138 -744435 -1636971 -140810 -1285490 -1757199 -1383172 757052;
85, -120280 -761189 -1662568 -173129 -1170484 -1737704 -1366676 761241;
86, -120280 -761189 -1662568 -173129 -1170484 -1737704 -1366676 761241;
87, -120280 -761189 -1662568 -173129 -1170484 -1737704 -1366676 761241;
88, -130519 -767498 -1687854 -270450 -1161538 -1714227 -1370606 763878;
89, -130519 -767498 -1687854 -270450 -1161538 -1714227 -1370606 763878;
90, -156995 -752140 -1712883 -323816 -1247999 -1712728 -1382448 742314;
91, -156995 -752140 -1712883 -323816 -1247999 -1712728 -1382448 742314;
92, -203742 -725095 -1739152 -426204 -1226280 -1738221 -1407631 731042;
93, -203742 -725095 -1739152 -426204 -1226280 -1738221 -1407631 731042;
94, -228822 -688070 -1761905 -489189 -1173069 -1730827 -1410527 729025;
95, -228822 -688070 -1761905 -489189 -1173069 -1730827 -1410527 729025;
96, -228822 -688070 -1761905 -489189 -1173069 -1730827 -1410527 729025;
97, -212171 -696499 -1766611 -523111 -1317188 -1742875 -1413785 740970;
98, -212171 -696499 -1766611 -523111 -1317188 -1742875 -1413785 740970;
99, -202243 -695671 -1771368 -438046 -1400702 -1749081 -1410579 743659;
100, -202243 -695671 -1771368 -438046 -1400702 -1749081 -1410579 743659;
101, -176129 -702239 -1772402 -429927 -1413733 -1763973 -1408976 747020;
102, -176129 -702239 -1772402 -429927 -1413733 -1763973 -1408976 747020;
103, -146136 -712167 -1777056 -468763 -1456137 -1760716 -1415078 760207;
104, -146136 -712167 -1777056 -468763 -1456137 -1760716 -1415078 760207;
105, -146136 -712167 -1777056 -468763 -1456137 -1760716 -1415078 760207;
106, -113506 -720441 -1780935 -453146 -1461928 -1755234 -1422318 769204;
107, -113506 -720441 -1780935 -453146 -1461928 -1755234 -1422318 769204;
108, -104871 -721734 -1782796 -430237 -1458102 -1744220 -1421128 771583;
109, -104871 -721734 -1782796 -430237 -1458102 -1744220 -1421128 771583;
110, -106422 -723957 -1782021 -428117 -1455671 -1727207 -1419887 770135;
111, -106422 -723957 -1782021 -428117 -1455671 -1727207 -1419887 770135;
112, -90392 -741022 -1785072 -438460 -1453447 -1709211 -1418646 766464;
113, -90392 -741022 -1785072 -438460 -1453447 -1709211 -1418646 766464;
114, -90392 -741022 -1785072 -438460 -1453447 -1709211 -1418646 766464;
115, -97011 -745572 -1783779 -422843 -1491714 -1653156 -1422990 765947;
116, -97011 -745572 -1783779 -422843 -1491714 -1653156 -1422990 765947;
117, -197640 -748468 -1778815 -417930 -1564110 -1506762 -1433435 764343;
118, -197640 -748468 -1778815 -417930 -1564110 -1506762 -1433435 764343;
119, -232184 -713512 -1774161 -401279 -1478631 -1481475 -1435090 756018;
120, -232184 -713512 -1774161 -401279 -1478631 -1481475 -1435090 756018;
121, -207724 -620432 -1765628 -356601 -1394083 -1533393 -1431470 752191;
122, -207724 -620432 -1765628 -356601 -1394083 -1533393 -1431470 752191;
123, -207724 -620432 -1765628 -356601 -1394083 -1533393 -1431470 752191;
124, -186781 -540796 -1752028 -328418 -1303175 -1530549 -1428264 747951;
125, -186781 -540796 -1752028 -328418 -1303175 -1530549 -1428264 747951;
126, -177370 -463281 -1734188 -350602 -1261444 -1535617 -1428419 749399;
127, -177370 -463281 -1734188 -350602 -1261444 -1535617 -1428419 749399;
128, -175146 -451853 -1732585 -362651 -1086143 -1675599 -1417560 746090;
129, -175146 -451853 -1732585 -362651 -1086143 -1675599 -1417560 746090;
130, -154255 -433496 -1742668 -346465 -846617 -1785330 -1405615 741694;
131, -154255 -433496 -1742668 -346465 -846617 -1785330 -1405615 741694;
132, -154255 -433496 -1742668 -346465 -846617 -1785330 -1405615 741694;
133, -143602 -329297 -1724880 -300184 -842893 -1768059 -1379966 736368;
134, -143602 -329297 -1724880 -300184 -842893 -1768059 -1379966 736368;
135, -39042 -236476 -1706936 -321489 -889899 -1762008 -1369314 743194;
136, -39042 -236476 -1706936 -321489 -889899 -1762008 -1369314 743194;
137, 56986 -194124 -1703006 -331779 -931319 -1760716 -1296452 744797;
